,Unnamed: 0,BusStopCode,Description,Latitude,Longitude,RoadName,planning_area
0,0,1012,Hotel Grand Pacific,1.29684825487647,103.85253591654006,Victoria St,DOWNTOWN CORE
1,1,1013,St. Joseph's Ch,1.29770970610083,103.8532247463225,Victoria St,ROCHOR
2,2,1019,Bras Basah Cplx,1.2969895119133201,103.85302201172509,Victoria St,DOWNTOWN CORE
3,3,1029,Opp Natl Lib,1.2966729849642,103.8544142246427,Nth Bridge Rd,DOWNTOWN CORE
4,4,1039,Bugis Cube,1.29820784139683,103.85549139837408,Nth Bridge Rd,DOWNTOWN CORE
5,5,1059,Bugis Stn Exit B,1.30075679526626,103.85611040457584,Victoria St,DOWNTOWN CORE
6,6,1109,Queen St Ter,1.30358577565355,103.85650372998224,Queen St,ROCHOR
7,7,1112,Opp Bugis Junction,1.30009212839081,103.85520027125814,Victoria St,ROCHOR
8,8,1113,Bugis Stn Exit A,1.30117297541547,103.8561140106393,Victoria St,DOWNTOWN CORE
9,9,1119,Bugis Junction,1.2996041093803998,103.85512934079573,Victoria St,DOWNTOWN CORE
10,10,1121,Stamford Pr Sch,1.30393809691048,103.85867999243207,Victoria St,ROCHOR
11,11,1129,Opp Stamford Pr Sch,1.30350269187301,103.85864530718493,Victoria St,ROCHOR
12,12,1139,Parkview Sq,1.30033057855542,103.857160806659,Nth Bridge Rd,DOWNTOWN CORE
13,13,1211,Opp Blk 461,1.30551803523268,103.8605449516032,Victoria St,KALLANG
14,14,1219,Blk 461,1.30526598535719,103.86072019914616,Victoria St,KALLANG
15,15,1229,Bef Sultan Mque,1.30337552638813,103.85963089198263,Nth Bridge Rd,ROCHOR
16,16,1231,Opp Textile Ctr,1.3032499999752,103.8610830559663,Jln Sultan,ROCHOR
17,17,1239,Sultan Plaza,1.30291236608351,103.86161817611134,Jln Sultan,KALLANG
18,18,1311,Lavender Stn Exit B,1.3070916463394,103.86219695240972,Kallang Rd,KALLANG
19,19,1319,Lavender Stn Exit A/ICA,1.30757426746418,103.86325596123476,Kallang Rd,KALLANG
20,20,1329,Blk 8,1.30495670239172,103.86363028484124,Nth Bridge Rd,KALLANG
21,21,1339,Bef Crawford Bridge,1.30774601733202,103.8642627465441,Crawford St,KALLANG
22,22,1341,Southbank,1.3064755560057801,103.86452527798744,Crawford St,KALLANG
23,23,1349,Opp Blk 4,1.30568635716829,103.86543994417885,Crawford St,KALLANG
